employee_id,employee_name,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,performance_rating
1039,Employee 1039,20,7.0,2,76.0,33,6.0,6.0,5.0,Low
1040,Employee 1040,21,5.0,2,96.0,47,9.0,4.0,9.0,Low
1041,Employee 1041,49,6.0,0,99.0,33,6.0,4.0,6.0,Low
1042,Employee 1042,52,5.0,0,57.0,38,7.0,5.0,9.0,Low
1043,Employee 1043,52,9.0,0,60.0,43,7.0,3.0,9.0,Low
1044,Employee 1044,38,8.0,0,92.0,36,7.0,9.0,8.0,Low
1045,Employee 1045,27,8.0,3,55.0,45,8.0,6.0,5.0,Low
1046,Employee 1046,47,6.0,4,56.0,39,8.0,7.0,8.0,Low
1047,Employee 1047,32,5.0,4,57.0,48,9.0,4.0,6.0,Low
1048,Employee 1048,43,9.0,0,94.0,31,7.0,2.0,8.0,Low
1049,Employee 1049,49,9.0,2,54.0,42,9.0,1.0,5.0,Low
1050,Employee 1050,43,8.0,1,78.0,40,9.0,7.0,8.0,Low
1051,Employee 1051,34,8.0,0,98.0,41,9.0,6.0,9.0,Low
1052,Employee 1052,41,9.0,0,66.0,34,9.0,4.0,5.0,Low
1053,Employee 1053,55,6.0,0,85.0,40,8.0,6.0,8.0,Low
1054,Employee 1054,53,9.0,3,87.0,49,8.0,1.0,6.0,Low
1055,Employee 1055,57,5.0,3,65.0,40,6.0,2.0,8.0,Low
1056,Employee 1056,28,5.0,3,93.0,45,6.0,2.0,6.0,Low
1057,Employee 1057,21,6.0,4,99.0,35,6.0,4.0,7.0,Low
1058,Employee 1058,26,7.0,4,94.0,39,8.0,5.0,8.0,Low
1059,Employee 1059,35,6.0,1,99.0,41,9.0,6.0,7.0,Low
1060,Employee 1060,37,9.0,3,51.0,31,9.0,9.0,6.0,Low
1061,Employee 1061,36,7.0,1,73.0,35,7.0,4.0,7.0,Low
1062,Employee 1062,46,5.0,4,54.0,49,5.0,9.0,8.0,Low
1063,Employee 1063,49,9.0,0,73.0,40,7.0,9.0,8.0,Low
1064,Employee 1064,34,5.0,1,68.0,41,6.0,2.0,7.0,Low
1065,Employee 1065,41,6.0,0,63.0,47,6.0,2.0,8.0,Low
1066,Employee 1066,33,7.0,0,63.0,38,8.0,8.0,7.0,Low
1067,Employee 1067,33,8.0,0,86.0,39,9.0,2.0,6.0,Low
1068,Employee 1068,27,7.0,0,82.0,36,6.0,5.0,7.0,Low
1069,Employee 1069,53,5.0,3,86.0,42,6.0,3.0,6.0,Low
1070,Employee 1070,35,6.0,2,79.0,34,8.0,5.0,9.0,Low
1071,Employee 1071,48,9.0,4,65.0,34,6.0,5.0,5.0,Low
1072,Employee 1072,57,8.0,3,88.0,32,8.0,8.0,7.0,Low
1073,Employee 1073,21,7.0,1,91.0,43,6.0,7.0,8.0,Low
1074,Employee 1074,52,5.0,0,71.0,43,9.0,9.0,6.0,Low
1075,Employee 1075,56,5.0,2,96.0,44,7.0,8.0,6.0,Low
1076,Employee 1076,20,8.0,0,54.0,47,7.0,6.0,9.0,Low
1077,Employee 1077,58,5.0,4,99.0,40,5.0,8.0,6.0,Low
1078,Employee 1078,58,7.0,4,61.0,49,6.0,4.0,5.0,Low
1079,Employee 1079,38,5.0,2,65.0,36,9.0,4.0,6.0,Low
1080,Employee 1080,20,5.0,3,92.0,46,9.0,2.0,7.0,Low
1081,Employee 1081,22,7.0,2,53.0,43,9.0,2.0,9.0,Low
1082,Employee 1082,58,7.0,0,54.0,33,6.0,2.0,8.0,Low
1083,Employee 1083,46,8.0,3,75.0,38,5.0,7.0,5.0,Low
1084,Employee 1084,57,5.0,3,68.0,34,8.0,8.0,8.0,Low
1085,Employee 1085,30,7.0,2,61.0,48,6.0,8.0,8.0,Low
1086,Employee 1086,48,6.0,1,64.0,43,7.0,3.0,7.0,Low
1087,Employee 1087,48,6.0,2,79.0,49,9.0,4.0,6.0,Low
1088,Employee 1088,50,8.0,4,59.0,32,6.0,7.0,5.0,Low
1089,Employee 1089,22,7.0,0,51.0,46,5.0,2.0,9.0,Low
1090,Employee 1090,47,8.0,1,85.0,45,6.0,1.0,5.0,Low
1091,Employee 1091,33,5.0,2,57.0,48,7.0,1.0,5.0,Low
1092,Employee 1092,40,7.0,0,81.0,48,6.0,5.0,5.0,Low
1093,Employee 1093,48,5.0,1,95.0,37,7.0,5.0,5.0,Low
1094,Employee 1094,34,7.0,1,65.0,37,5.0,7.0,9.0,Low
1095,Employee 1095,46,6.0,3,53.0,48,9.0,2.0,6.0,Low
1096,Employee 1096,33,8.0,3,51.0,49,5.0,5.0,6.0,Low
1097,Employee 1097,23,9.0,1,56.0,36,5.0,3.0,6.0,Low
1098,Employee 1098,25,5.0,4,88.0,49,8.0,9.0,7.0,Low
1099,Employee 1099,55,6.0,4,61.0,37,7.0,2.0,7.0,Low
1100,Employee 1100,24,8.0,3,87.0,38,8.0,7.0,6.0,Low
1101,Employee 1101,45,7.0,1,89.0,32,6.0,2.0,5.0,Low
1102,Employee 1102,52,9.0,1,63.0,40,9.0,1.0,6.0,Low
1103,Employee 1103,42,5.0,4,69.0,45,9.0,9.0,7.0,Low
1104,Employee 1104,21,5.0,0,84.0,34,6.0,6.0,8.0,Low
1105,Employee 1105,43,9.0,1,79.0,43,7.0,8.0,9.0,Low
1106,Employee 1106,25,7.0,3,58.0,36,9.0,8.0,7.0,Low
1107,Employee 1107,52,6.0,4,62.0,34,5.0,1.0,9.0,Low
1108,Employee 1108,26,8.0,2,56.0,33,8.0,4.0,8.0,Low
1109,Employee 1109,51,6.0,1,95.0,37,8.0,1.0,7.0,Low
1110,Employee 1110,41,5.0,0,63.0,32,5.0,6.0,6.0,Low
1111,Employee 1111,25,7.0,3,67.0,39,8.0,5.0,5.0,Low
1112,Employee 1112,44,5.0,1,66.0,33,8.0,9.0,7.0,Low
1113,Employee 1113,26,9.0,4,71.0,49,7.0,6.0,9.0,Low
1114,Employee 1114,47,5.0,2,68.0,36,9.0,2.0,9.0,Low
1115,Employee 1115,56,6.0,4,73.0,36,9.0,4.0,6.0,Low
1116,Employee 1116,21,9.0,2,96.0,41,6.0,6.0,7.0,Low
1117,Employee 1117,51,9.0,1,59.0,30,9.0,4.0,5.0,Low
1118,Employee 1118,26,6.0,2,64.0,41,8.0,3.0,8.0,Low
1119,Employee 1119,54,8.0,0,65.0,32,8.0,7.0,8.0,Low
1120,Employee 1120,49,8.0,1,62.0,47,5.0,1.0,9.0,Low
1121,Employee 1121,43,7.0,1,95.0,35,9.0,8.0,9.0,Low
1122,Employee 1122,38,7.0,2,65.0,41,6.0,5.0,6.0,Low
1123,Employee 1123,36,7.0,2,58.0,35,9.0,8.0,7.0,Low
1124,Employee 1124,33,6.0,3,90.0,48,9.0,7.0,8.0,Low
1125,Employee 1125,26,6.0,4,99.0,42,5.0,2.0,6.0,Low
1126,Employee 1126,38,8.0,0,98.0,44,5.0,8.0,8.0,Low
1127,Employee 1127,27,9.0,0,88.0,35,9.0,7.0,7.0,Low
1128,Employee 1128,36,7.0,4,62.0,32,7.0,6.0,6.0,Low
1129,Employee 1129,42,5.0,4,70.0,41,8.0,1.0,9.0,Low
1130,Employee 1130,38,5.0,2,93.0,41,8.0,6.0,6.0,Low
1131,Employee 1131,58,6.0,0,94.0,31,6.0,6.0,7.0,Low
1132,Employee 1132,30,5.0,0,99.0,40,8.0,4.0,6.0,Low
1133,Employee 1133,53,9.0,4,99.0,41,7.0,4.0,7.0,Low
1134,Employee 1134,27,8.0,2,86.0,39,6.0,7.0,8.0,Low
1135,Employee 1135,43,7.0,4,76.0,32,9.0,7.0,9.0,Low
1136,Employee 1136,40,9.0,0,85.0,32,9.0,8.0,7.0,Low
1137,Employee 1137,39,5.0,1,57.0,47,9.0,4.0,5.0,Low
1138,Employee 1138,33,8.0,2,90.0,43,7.0,8.0,9.0,Low
1139,Employee 1139,53,7.0,4,92.0,35,5.0,5.0,9.0,Low
1140,Employee 1140,48,6.0,4,61.0,39,9.0,7.0,7.0,Low
1141,Employee 1141,44,8.0,2,56.0,35,7.0,4.0,7.0,Low
1142,Employee 1142,51,9.0,0,57.0,46,7.0,9.0,6.0,Low
1143,Employee 1143,56,8.0,1,94.0,43,9.0,3.0,5.0,Low
1144,Employee 1144,55,7.0,0,79.0,41,6.0,3.0,7.0,Low
1145,Employee 1145,58,7.0,1,96.0,38,8.0,1.0,9.0,Low
1146,Employee 1146,48,8.0,0,94.0,43,5.0,8.0,6.0,Low
1147,Employee 1147,53,7.0,2,83.0,32,5.0,5.0,6.0,Low
1148,Employee 1148,51,7.0,4,54.0,47,5.0,5.0,9.0,Low
1149,Employee 1149,25,9.0,0,69.0,32,9.0,4.0,9.0,Low
1150,Employee 1150,49,5.0,4,93.0,41,6.0,7.0,9.0,Low
1151,Employee 1151,31,8.0,3,88.0,41,8.0,2.0,8.0,Low
1152,Employee 1152,49,8.0,4,97.0,47,9.0,3.0,6.0,Low
1153,Employee 1153,51,8.0,2,73.0,46,7.0,8.0,9.0,Low
1154,Employee 1154,36,8.0,1,94.0,44,8.0,9.0,9.0,Low
1155,Employee 1155,24,6.0,0,98.0,39,6.0,5.0,9.0,Low
1156,Employee 1156,37,6.0,0,65.0,49,5.0,1.0,6.0,Low
1157,Employee 1157,20,5.0,1,53.0,34,5.0,7.0,5.0,Low
1158,Employee 1158,31,5.0,3,57.0,46,9.0,2.0,7.0,Low
1159,Employee 1159,46,9.0,1,98.0,33,7.0,8.0,6.0,Low
1160,Employee 1160,49,5.0,1,92.0,44,7.0,7.0,7.0,Low
1161,Employee 1161,49,6.0,3,78.0,30,7.0,1.0,6.0,Low
1162,Employee 1162,20,8.0,4,89.0,30,7.0,9.0,9.0,Low
1163,Employee 1163,24,7.0,2,66.0,47,7.0,2.0,9.0,Low
1164,Employee 1164,47,6.0,1,76.0,45,7.0,2.0,6.0,Low
1165,Employee 1165,39,9.0,1,55.0,30,9.0,1.0,5.0,Low
1166,Employee 1166,25,5.0,0,51.0,49,9.0,7.0,6.0,Low
1167,Employee 1167,51,9.0,2,57.0,37,5.0,6.0,6.0,Low
1168,Employee 1168,23,8.0,1,54.0,48,5.0,3.0,5.0,Low
1169,Employee 1169,42,6.0,1,94.0,38,5.0,6.0,9.0,Low
1170,Employee 1170,28,9.0,2,58.0,48,7.0,6.0,5.0,Low
1171,Employee 1171,49,5.0,2,51.0,33,5.0,6.0,5.0,Low
1172,Employee 1172,47,8.0,1,77.0,40,7.0,7.0,5.0,Low
1173,Employee 1173,35,7.0,0,83.0,46,6.0,8.0,8.0,Low
1174,Employee 1174,31,9.0,1,84.0,34,9.0,4.0,7.0,Low
1175,Employee 1175,59,7.0,0,87.0,32,6.0,1.0,9.0,Low
1176,Employee 1176,30,9.0,2,94.0,32,9.0,3.0,5.0,Low
1177,Employee 1177,28,7.0,4,80.0,38,7.0,1.0,8.0,Low
1178,Employee 1178,54,9.0,4,94.0,30,9.0,7.0,9.0,Low
1179,Employee 1179,33,6.0,4,69.0,48,7.0,1.0,5.0,Low
1180,Employee 1180,56,9.0,0,55.0,32,6.0,4.0,6.0,Low
1181,Employee 1181,54,8.0,4,72.0,33,8.0,3.0,6.0,Low
1182,Employee 1182,26,5.0,0,72.0,32,6.0,4.0,5.0,Low
1183,Employee 1183,34,9.0,0,90.0,44,6.0,9.0,9.0,Low
1184,Employee 1184,25,6.0,2,89.0,48,8.0,1.0,8.0,Low
1185,Employee 1185,36,9.0,3,72.0,36,8.0,2.0,9.0,Low
1186,Employee 1186,52,5.0,3,52.0,32,8.0,9.0,8.0,Low
1187,Employee 1187,54,9.0,1,99.0,43,6.0,5.0,7.0,Low
1188,Employee 1188,26,7.0,3,99.0,48,6.0,1.0,6.0,Low
1189,Employee 1189,52,7.0,3,58.0,36,8.0,7.0,7.0,Low
1190,Employee 1190,52,8.0,3,93.0,39,8.0,8.0,8.0,Low
1191,Employee 1191,58,5.0,4,85.0,44,7.0,6.0,9.0,Low
1192,Employee 1192,39,7.0,4,99.0,34,6.0,6.0,5.0,Low
1193,Employee 1193,57,7.0,2,83.0,32,8.0,1.0,6.0,Low
1194,Employee 1194,43,9.0,3,80.0,31,5.0,8.0,5.0,Low
1195,Employee 1195,24,9.0,4,61.0,42,9.0,6.0,6.0,Low
1196,Employee 1196,46,5.0,1,50.0,33,5.0,9.0,7.0,Low
1197,Employee 1197,45,8.0,3,84.0,42,7.0,8.0,5.0,Low
1198,Employee 1198,44,6.0,1,83.0,34,6.0,6.0,9.0,Low
1199,Employee 1199,39,9.0,0,76.0,38,6.0,7.0,7.0,Low
1200,Employee 1200,23,6.0,1,84.0,38,9.0,6.0,5.0,Low
1201,Employee 1201,41,8.0,2,53.0,48,6.0,2.0,6.0,Low
1202,Employee 1202,47,7.0,3,65.0,32,8.0,2.0,6.0,Low
1203,Employee 1203,20,6.0,1,60.0,49,5.0,1.0,5.0,Low
1204,Employee 1204,44,9.0,0,78.0,43,6.0,3.0,7.0,Low
1205,Employee 1205,46,6.0,2,82.0,47,7.0,1.0,9.0,Low
1206,Employee 1206,57,7.0,0,82.0,34,6.0,1.0,9.0,Low
1207,Employee 1207,23,7.0,3,72.0,45,5.0,9.0,6.0,Low
1208,Employee 1208,40,7.0,2,71.0,39,6.0,8.0,9.0,Low
1209,Employee 1209,57,5.0,4,99.0,47,8.0,6.0,5.0,Low
1210,Employee 1210,54,7.0,2,89.0,41,5.0,6.0,7.0,Low
1211,Employee 1211,41,6.0,2,55.0,39,6.0,2.0,8.0,Low
1212,Employee 1212,20,6.0,0,51.0,38,6.0,2.0,5.0,Low
1213,Employee 1213,29,5.0,0,71.0,48,5.0,8.0,9.0,Low
1214,Employee 1214,52,8.0,4,63.0,32,9.0,4.0,5.0,Low
1215,Employee 1215,25,7.0,4,68.0,37,7.0,1.0,9.0,Low
1216,Employee 1216,40,8.0,1,63.0,48,5.0,9.0,8.0,Low
1217,Employee 1217,45,9.0,1,98.0,45,7.0,8.0,8.0,Low
1218,Employee 1218,49,7.0,3,73.0,42,7.0,5.0,5.0,Low
1219,Employee 1219,48,7.0,3,80.0,30,7.0,5.0,9.0,Low
1220,Employee 1220,35,9.0,1,66.0,34,5.0,5.0,5.0,Low
1221,Employee 1221,24,7.0,2,98.0,37,5.0,2.0,6.0,Low
1222,Employee 1222,56,6.0,0,87.0,46,6.0,3.0,9.0,Low
1223,Employee 1223,21,7.0,0,76.0,35,6.0,8.0,5.0,Low
1224,Employee 1224,34,5.0,0,88.0,43,7.0,8.0,9.0,Low
1225,Employee 1225,59,5.0,0,89.0,34,8.0,4.0,7.0,Low
1226,Employee 1226,25,7.0,2,98.0,49,6.0,4.0,8.0,Low
1227,Employee 1227,57,9.0,2,63.0,43,9.0,2.0,9.0,Low
1228,Employee 1228,38,7.0,4,86.0,31,6.0,3.0,7.0,Low
1229,Employee 1229,36,5.0,3,53.0,34,5.0,2.0,9.0,Low
1230,Employee 1230,20,5.0,0,97.0,42,8.0,7.0,7.0,Low
1231,Employee 1231,45,6.0,4,54.0,46,9.0,4.0,7.0,Low
1232,Employee 1232,54,6.0,0,97.0,34,8.0,2.0,9.0,Low
1233,Employee 1233,27,6.0,4,80.0,36,7.0,1.0,5.0,Low
1234,Employee 1234,30,8.0,0,52.0,43,8.0,3.0,8.0,Low
1235,Employee 1235,25,5.0,2,81.0,30,9.0,7.0,7.0,Low
1236,Employee 1236,49,8.0,3,90.0,37,7.0,2.0,9.0,Low
1237,Employee 1237,30,8.0,1,93.0,44,6.0,1.0,5.0,Low
1238,Employee 1238,29,6.0,3,60.0,43,6.0,7.0,5.0,Low
1239,Employee 1239,21,5.0,4,60.0,31,5.0,9.0,8.0,Low
1240,Employee 1240,23,7.0,4,78.0,34,8.0,3.0,7.0,Low
1241,Employee 1241,52,9.0,1,76.0,46,7.0,1.0,6.0,Low
1242,Employee 1242,23,7.0,1,87.0,31,9.0,4.0,8.0,Low
1243,Employee 1243,32,8.0,1,70.0,41,9.0,3.0,8.0,Low
1244,Employee 1244,31,8.0,3,94.0,33,6.0,3.0,5.0,Low
1245,Employee 1245,54,5.0,2,66.0,46,7.0,3.0,6.0,Low
1246,Employee 1246,44,6.0,2,84.0,44,5.0,8.0,8.0,Low
1247,Employee 1247,58,7.0,1,80.0,39,8.0,2.0,7.0,Low
1248,Employee 1248,23,5.0,0,78.0,44,7.0,2.0,8.0,Low
1249,Employee 1249,33,7.0,2,89.0,44,6.0,3.0,8.0,Low
1250,Employee 1250,27,6.0,4,91.0,49,5.0,1.0,6.0,Low
1251,Employee 1251,32,7.0,2,52.0,39,8.0,1.0,6.0,Low
1252,Employee 1252,54,9.0,1,76.0,46,5.0,5.0,8.0,Low
1253,Employee 1253,20,7.0,0,87.0,42,7.0,9.0,9.0,Low
1254,Employee 1254,59,6.0,0,82.0,38,9.0,3.0,9.0,Low
1255,Employee 1255,46,5.0,3,94.0,48,5.0,2.0,6.0,Low
1256,Employee 1256,23,8.0,2,94.0,39,5.0,9.0,5.0,Low
1257,Employee 1257,56,5.0,2,87.0,38,7.0,9.0,5.0,Low
1258,Employee 1258,49,7.0,4,88.0,34,8.0,4.0,6.0,Low
1259,Employee 1259,59,8.0,1,74.0,42,9.0,7.0,8.0,Low
1260,Employee 1260,26,8.0,4,89.0,42,6.0,5.0,8.0,Low
1261,Employee 1261,52,9.0,1,64.0,30,8.0,6.0,7.0,Low
1262,Employee 1262,55,9.0,0,88.0,37,7.0,8.0,7.0,Low
1263,Employee 1263,28,9.0,3,81.0,47,9.0,4.0,8.0,Low
1264,Employee 1264,57,7.0,4,56.0,47,7.0,6.0,5.0,Low
1265,Employee 1265,46,8.0,0,96.0,30,5.0,7.0,8.0,Low
1266,Employee 1266,58,6.0,4,78.0,39,7.0,6.0,7.0,Low
1267,Employee 1267,25,9.0,0,83.0,34,6.0,6.0,7.0,Low
1268,Employee 1268,47,5.0,1,82.0,33,6.0,4.0,6.0,Low
1269,Employee 1269,26,8.0,1,62.0,37,6.0,7.0,5.0,Low
1270,Employee 1270,22,9.0,0,94.0,39,9.0,4.0,8.0,Low
1271,Employee 1271,20,5.0,0,74.0,32,7.0,6.0,8.0,Low
1272,Employee 1272,26,6.0,0,84.0,39,5.0,2.0,5.0,Low
1273,Employee 1273,29,9.0,1,78.0,38,8.0,6.0,7.0,Low
1274,Employee 1274,34,9.0,1,94.0,37,9.0,8.0,5.0,Low
1275,Employee 1275,40,5.0,0,50.0,37,7.0,3.0,5.0,Low
1276,Employee 1276,56,9.0,1,89.0,42,9.0,2.0,5.0,Low
1277,Employee 1277,55,5.0,1,92.0,44,9.0,3.0,7.0,Low
1278,Employee 1278,34,8.0,2,61.0,45,9.0,4.0,6.0,Low
1279,Employee 1279,54,6.0,0,65.0,47,5.0,7.0,9.0,Low
1280,Employee 1280,57,6.0,3,58.0,49,5.0,4.0,5.0,Low
1281,Employee 1281,44,5.0,3,62.0,37,5.0,8.0,6.0,Low
1282,Employee 1282,44,7.0,2,75.0,46,6.0,9.0,9.0,Low
1283,Employee 1283,38,8.0,4,52.0,30,8.0,2.0,8.0,Low
1284,Employee 1284,33,6.0,0,63.0,43,9.0,6.0,5.0,Low
1285,Employee 1285,21,7.0,2,90.0,33,7.0,8.0,5.0,Low
1286,Employee 1286,46,8.0,1,94.0,45,6.0,8.0,5.0,Low
1287,Employee 1287,54,8.0,4,91.0,47,9.0,2.0,8.0,Low
1288,Employee 1288,30,9.0,4,71.0,41,9.0,1.0,7.0,Low
1289,Employee 1289,49,7.0,2,79.0,42,8.0,1.0,6.0,Low
1290,Employee 1290,35,5.0,2,75.0,31,8.0,9.0,9.0,Low
1291,Employee 1291,45,7.0,0,87.0,39,5.0,3.0,5.0,Low
1292,Employee 1292,32,6.0,1,63.0,45,5.0,7.0,9.0,Low
1293,Employee 1293,59,6.0,3,96.0,38,5.0,1.0,9.0,Low
1294,Employee 1294,40,9.0,3,73.0,42,8.0,1.0,6.0,Low
1295,Employee 1295,25,7.0,4,63.0,42,6.0,7.0,7.0,Low
1296,Employee 1296,40,9.0,2,72.0,47,9.0,7.0,9.0,Low
1297,Employee 1297,53,5.0,0,95.0,30,8.0,9.0,8.0,Low
1298,Employee 1298,43,6.0,0,99.0,36,6.0,3.0,6.0,Low
1299,Employee 1299,32,7.0,0,97.0,47,7.0,3.0,9.0,Low
1300,Employee 1300,23,7.0,4,96.0,42,8.0,5.0,7.0,Low
1301,Employee 1301,55,8.0,0,81.0,33,7.0,1.0,7.0,Low
1302,Employee 1302,53,7.0,2,80.0,39,8.0,8.0,7.0,Low
1303,Employee 1303,59,7.0,1,52.0,37,6.0,6.0,6.0,Low
1304,Employee 1304,41,8.0,4,92.0,32,7.0,1.0,6.0,Low
1305,Employee 1305,59,6.0,1,64.0,41,5.0,4.0,9.0,Low
1306,Employee 1306,42,8.0,1,82.0,33,7.0,7.0,9.0,Low
1307,Employee 1307,53,9.0,4,50.0,44,7.0,8.0,5.0,Low
1308,Employee 1308,40,6.0,2,72.0,35,7.0,8.0,7.0,Low
1309,Employee 1309,26,5.0,3,99.0,44,6.0,8.0,5.0,Low
1310,Employee 1310,32,8.0,3,97.0,37,7.0,6.0,5.0,Low
1311,Employee 1311,28,6.0,4,93.0,45,8.0,1.0,8.0,Low
1312,Employee 1312,55,8.0,0,51.0,39,7.0,9.0,8.0,Low
1313,Employee 1313,34,5.0,0,60.0,34,7.0,9.0,7.0,Low
1314,Employee 1314,55,8.0,0,50.0,32,8.0,4.0,7.0,Low
1315,Employee 1315,38,7.0,3,53.0,37,6.0,3.0,8.0,Low
1316,Employee 1316,59,9.0,2,91.0,34,5.0,3.0,5.0,Low
1317,Employee 1317,34,8.0,3,89.0,31,7.0,9.0,5.0,Low
1318,Employee 1318,34,6.0,0,60.0,32,8.0,8.0,6.0,Low
1319,Employee 1319,35,6.0,0,73.0,48,5.0,3.0,5.0,Low
1320,Employee 1320,57,5.0,2,78.0,48,6.0,6.0,7.0,Low
1321,Employee 1321,25,8.0,4,75.0,36,8.0,2.0,9.0,Low
1322,Employee 1322,56,7.0,4,53.0,48,9.0,5.0,9.0,Low
1323,Employee 1323,21,8.0,0,80.0,42,6.0,8.0,6.0,Low
1324,Employee 1324,40,9.0,2,52.0,36,8.0,1.0,9.0,Low
1325,Employee 1325,54,5.0,1,92.0,42,8.0,6.0,8.0,Low
1326,Employee 1326,59,9.0,2,95.0,43,7.0,3.0,9.0,Low
1327,Employee 1327,59,9.0,2,59.0,45,6.0,9.0,8.0,Low
1328,Employee 1328,29,6.0,1,85.0,30,8.0,5.0,7.0,Low
1329,Employee 1329,40,5.0,3,90.0,44,6.0,8.0,9.0,Low
1330,Employee 1330,28,6.0,1,85.0,33,7.0,5.0,7.0,Low
1331,Employee 1331,36,5.0,3,71.0,47,6.0,5.0,7.0,Low
1332,Employee 1332,23,6.0,2,72.0,42,8.0,2.0,7.0,Low
1333,Employee 1333,40,5.0,0,84.0,39,6.0,3.0,5.0,Low
1334,Employee 1334,34,5.0,2,92.0,39,5.0,8.0,9.0,Low
1335,Employee 1335,57,9.0,0,92.0,44,8.0,2.0,8.0,Low
1336,Employee 1336,40,6.0,0,65.0,35,6.0,8.0,5.0,Low
1337,Employee 1337,53,7.0,4,93.0,43,7.0,9.0,9.0,Low
1338,Employee 1338,21,7.0,1,75.0,49,7.0,4.0,9.0,Low
1339,Employee 1339,50,5.0,1,68.0,43,9.0,8.0,5.0,Low
1340,Employee 1340,42,8.0,0,76.0,48,6.0,3.0,6.0,Low
1341,Employee 1341,47,6.0,4,66.0,34,7.0,9.0,6.0,Low
1342,Employee 1342,55,9.0,0,68.0,41,9.0,1.0,9.0,Low
1343,Employee 1343,39,6.0,2,98.0,34,5.0,5.0,9.0,Low
1344,Employee 1344,41,9.0,1,88.0,47,5.0,7.0,9.0,Low
1345,Employee 1345,44,5.0,3,82.0,39,5.0,4.0,9.0,Low
1346,Employee 1346,23,6.0,3,55.0,31,5.0,6.0,9.0,Low
1347,Employee 1347,36,5.0,1,51.0,34,6.0,1.0,7.0,Low
1348,Employee 1348,35,8.0,0,86.0,35,9.0,5.0,6.0,Low
1349,Employee 1349,25,9.0,2,79.0,34,9.0,9.0,9.0,Low
1350,Employee 1350,33,7.0,3,82.0,38,7.0,1.0,8.0,Low
1351,Employee 1351,27,6.0,4,77.0,49,6.0,2.0,7.0,Low
1352,Employee 1352,36,7.0,3,91.0,48,5.0,9.0,7.0,Low
1353,Employee 1353,26,9.0,3,62.0,34,9.0,8.0,5.0,Low
1354,Employee 1354,58,6.0,3,92.0,45,5.0,3.0,6.0,Low
1355,Employee 1355,51,5.0,3,69.0,31,8.0,6.0,7.0,Low
